station,city,state,latitude,longitude,board_acronym,snapshot_date,snapshot_label,PM2.5,PM10,SO2,NO2,CO,NH3,OZONE,valid_pollutant_count,missing_pollutant_count,completeness_pct,total_pollutant_conc,mean_pollutant_conc,median_pollutant_conc,pollutant_conc_range,highest_raw_concentration_pollutant,highest_raw_concentration_value,dominant_pollutant_by_AQI,high_missingness_flag,suspicious_zero_flag,incomplete_station_flag,coordinate_issue_flag,duplicate_coordinate_flag,PM2.5_zscore,PM10_zscore,SO2_zscore,NO2_zscore,CO_zscore,NH3_zscore,OZONE_zscore,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE,calculated_AQI,aqi_label,dominant_AQI_subindex,aqi_category,possible_sensor_anomaly
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,25.892357,86.590325,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,49.0,53.0,15.0,7.0,38.0,4.0,9.0,7,0,100.0,175.0,25.0,15.0,49.0,PM10,53.0,PM2.5,False,False,False,False,False,-0.3931,-0.5976,0.1481,-0.8997,0.1123,-0.2618,-0.847,82.03,53.94,18.75,8.75,1.9,1.0,9.0,82.03,Satisfactory,82.03,FULL,False
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,25.859655,85.77944,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,73.0,47.0,12.0,8.0,6.0,1.0,6.0,7,0,100.0,153.0,21.86,8.0,72.0,PM2.5,73.0,PM2.5,False,False,False,False,False,0.0795,-0.7338,-0.0855,-0.8404,-1.2171,-0.9545,-1.0114,143.9,47.0,15.0,10.0,0.3,0.25,6.0,143.9,Moderate,143.9,FULL,False
"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,24.952822,84.002396,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,17.0,15.0,,,,,,2,5,28.6,32.0,16.0,17.0,2.0,PM2.5,17.0,PM2.5,True,False,True,False,False,-1.0232,-1.4602,,,,,,28.33,15.0,,,,,,28.33,Good,28.33,PARTIAL_LOW_CONFIDENCE,False
"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,26.2271665,84.3570427,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,44.0,53.0,6.0,2.0,65.0,1.0,7.0,7,0,100.0,178.0,25.43,7.0,64.0,CO,65.0,PM2.5,False,False,False,False,False,-0.4915,-0.5976,-0.5528,-1.1964,1.2339,-0.9545,-0.9566,73.87,53.94,7.5,2.5,3.25,0.25,7.0,73.87,Satisfactory,73.87,FULL,False
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.751462,76.762879,CPCC,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,36.0,63.0,6.0,18.0,20.0,7.0,19.0,7,0,100.0,169.0,24.14,19.0,57.0,PM10,63.0,PM10,False,False,False,False,False,-0.6491,-0.3706,-0.5528,-0.247,-0.6355,0.431,-0.299,60.8,63.74,7.5,22.5,1.0,1.75,19.0,63.74,Satisfactory,63.74,FULL,False
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,30.719859,76.738637,CPCC,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,,,,,28.0,,40.0,2,5,28.6,68.0,34.0,40.0,12.0,OZONE,40.0,OZONE,True,False,True,False,False,,,,,-0.3031,,0.8519,,,,,1.4,,40.0,40.0,Good,40.0,PARTIAL_LOW_CONFIDENCE,False
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,30.735567,76.775714,CPCC,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,30.0,36.0,5.0,11.0,34.0,23.0,31.0,7,0,100.0,170.0,24.29,30.0,31.0,PM10,36.0,PM2.5,False,False,False,False,False,-0.7672,-0.9835,-0.6307,-0.6624,-0.0539,4.1259,0.3587,50.0,36.0,6.25,13.75,1.7,5.75,31.0,50.0,Good,50.0,FULL,False
"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,21.224231,81.40835,CECB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,29.0,31.0,12.0,13.0,15.0,7.0,12.0,7,0,100.0,119.0,17.0,13.0,24.0,PM10,31.0,PM2.5,False,False,False,False,False,-0.7869,-1.097,-0.0855,-0.5437,-0.8432,0.431,-0.6826,48.33,31.0,15.0,16.25,0.75,1.75,12.0,48.33,Good,48.33,FULL,False
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,21.185571,81.343175,Bhilai Steel Plant,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,10.0,20.0,10.0,16.0,20.0,1.0,12.0,7,0,100.0,89.0,12.71,12.0,19.0,PM10,20.0,PM10,False,False,False,False,False,-1.1611,-1.3467,-0.2413,-0.3656,-0.6355,-0.9545,-0.6826,16.67,20.0,12.5,20.0,1.0,0.25,12.0,20.0,Good,20.0,FULL,False
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,21.194815,81.31477,CECB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,14.0,27.0,11.0,15.0,12.0,4.0,10.0,7,0,100.0,93.0,13.29,12.0,23.0,PM10,27.0,PM10,False,False,False,False,False,-1.0823,-1.1878,-0.1634,-0.425,-0.9678,-0.2618,-0.7922,23.33,27.0,13.75,18.75,0.6,1.0,10.0,27.0,Good,27.0,FULL,False
"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,22.08815,82.13737,NTPC,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,26.0,34.0,16.0,21.0,27.0,,,5,2,71.4,124.0,24.8,26.0,18.0,PM10,34.0,PM2.5,False,False,True,False,False,-0.846,-1.0289,0.226,-0.0689,-0.3447,,,43.33,34.0,20.0,26.25,1.35,,,43.33,Good,43.33,PARTIAL_HIGH_CONFIDENCE,False
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,26.0,39.0,12.0,9.0,12.0,3.0,2.0,7,0,100.0,103.0,14.71,12.0,37.0,PM10,39.0,PM2.5,False,False,False,False,False,-0.846,-0.9154,-0.0855,-0.781,-0.9678,-0.4927,-1.2306,43.33,39.0,15.0,11.25,0.6,0.75,2.0,43.33,Good,43.33,FULL,False
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,,,,,89.0,,2.0,2,5,28.6,91.0,45.5,89.0,87.0,CO,89.0,CO,True,False,True,False,False,,,,,2.2309,,-1.2306,,,,,4.45,,2.0,4.45,Good,4.45,PARTIAL_LOW_CONFIDENCE,False
"Collectorate, Gaya - BSPCB",Gaya,Bihar,24.7955,84.9994,BSPCB,23-09-2026,SINGLE_SNAPSHOT_NOT_TIME_SERIES,,,,,12.0,,29.0,2,5,28.6,41.0,20.5,29.0,17.0,OZONE,29.0,OZONE,True,False,True,False,False,,,,,-0.9678,,0.2491,,,,,0.6,,29.0,29.0,Good,29.0,PARTIAL_LOW_CONFIDENCE,False
