station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,82.03,Satisfactory,FULL,PM2.5,82.03,82.03,53.94,18.75,8.75,1.9,1.0,9.0
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,143.9,Moderate,FULL,PM2.5,143.9,143.9,47.0,15.0,10.0,0.3,0.25,6.0
"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,28.33,Good,PARTIAL_LOW_CONFIDENCE,PM2.5,28.33,28.33,15.0,,,,,
"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,53.94,7.5,2.5,3.25,0.25,7.0
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,63.74,Satisfactory,FULL,PM10,63.74,60.8,63.74,7.5,22.5,1.0,1.75,19.0
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,40.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,40.0,,,,,1.4,,40.0
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,50.0,Good,FULL,PM2.5,50.0,50.0,36.0,6.25,13.75,1.7,5.75,31.0
"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,48.33,Good,FULL,PM2.5,48.33,48.33,31.0,15.0,16.25,0.75,1.75,12.0
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,20.0,Good,FULL,PM10,20.0,16.67,20.0,12.5,20.0,1.0,0.25,12.0
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,27.0,Good,FULL,PM10,27.0,23.33,27.0,13.75,18.75,0.6,1.0,10.0
"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,43.33,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,43.33,43.33,34.0,20.0,26.25,1.35,,
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,43.33,Good,FULL,PM2.5,43.33,43.33,39.0,15.0,11.25,0.6,0.75,2.0
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,4.45,Good,PARTIAL_LOW_CONFIDENCE,CO,4.45,,,,,4.45,,2.0
"Collectorate, Gaya - BSPCB",Gaya,Bihar,29.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,29.0,,,,,0.6,,29.0
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,39.0,10.0,31.25,1.1,1.5,16.0
"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,83.67,Satisfactory,FULL,PM2.5,83.67,83.67,70.6,5.0,23.75,1.7,3.0,28.0
"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,48.33,Good,FULL,PM2.5,48.33,48.33,29.0,31.25,11.25,4.5,0.25,26.0
"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,83.34,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,83.34,,83.34,25.0,23.75,1.45,0.25,41.0
"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,52.96,Satisfactory,PARTIAL_HIGH_CONFIDENCE,OZONE,52.96,,,3.75,3.75,0.6,0.25,52.96
"Town Hall, Munger - BSPCB",Munger,Bihar,115.56,Moderate,FULL,OZONE,115.56,68.97,59.82,93.88,15.0,1.9,0.75,115.56
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,352.78,Very Poor,FULL,PM2.5,352.78,352.78,141.26,17.5,52.23,2.55,2.0,7.0
"Patparganj, Delhi - DPCC",Delhi,Delhi,323.08,Very Poor,FULL,PM2.5,323.08,323.08,149.84,15.0,52.23,2.25,2.75,13.0
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,311.66,Very Poor,FULL,PM2.5,311.66,311.66,118.82,30.0,48.75,1.9,2.0,11.0
